Antigua and Barbuda,77,74,80,Ñ,Ñ,Ñ,Ñ,98,113,2.07,Ñ,51,26,0.09,14,6,0,0.1,0.1,16,1.5,24,8,21120,30,2248,Ñ,Ñ
Bahamas,74,71,77,43,37,Ñ,Ñ,90,95,Ñ,0.87,52,17,0.4,15,6,1,0.4,0.5,14,1.9,26,7,22310,85,4708,Ñ,Ñ
Barbados,75,73,78,120,52,Ñ,Ñ,99,111,2.45,0.86,52,20,0.3,12,9,2,0.3,0.3,19,1.7,20,13,14750,46,2525,59,55
Cuba,78,77,80,63,80,0.2,<0.1,92,92,1.65,0.62,45,49,11.1,11,8,-2,11.2,10.6,4.2,1.7,17,13,18710,75,348,74,72
Cura�ao,78,75,81,Ñ,Ñ,Ñ,Ñ,83,89,2.2,Ñ,Ñ,Ñ,0.2,13,8,1,0.2,0.2,8.7,2.1,19,15,Ñ,Ñ,Ñ,Ñ,Ñ
Dominica,75,72,77,Ñ,Ñ,Ñ,Ñ,93,100,Ñ,Ñ,Ñ,22,0.07,14,9,-5,0.07,0.06,20,2.1,22,10,10300,68,1133,Ñ,Ñ
Dominican Republic,73,70,77,240,100,0.4,0.4,72,80,1.6,0.65,42,19,10.5,21,6,-3,11.3,12.2,31,2.5,31,6,12450,72,1310,70,68
Grenada,76,74,79,34,23,Ñ,Ñ,102,100,1.36,Ñ,Ñ,25,0.1,17,8,-2,0.1,0.1,15,2.1,26,7,11650,41,3710,Ñ,Ñ
Guadeloupe,81,78,84,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,54,Ñ,0.4,13,7,-2,0.4,0.4,8.7,2.2,21,14,Ñ,98,Ñ,Ñ,Ñ
Haiti,64,61,65,670,380,0.5,0.8,Ñ,Ñ,Ñ,0.86,Ñ,3,10.9,28,9,-3,13.6,16.9,42,3.2,35,4,1750,59,1092,35,31
Jamaica,74,70,78,98,80,0.8,0.6,76,79,2.29,0.79,48,17,2.7,18,7,-5,2.9,2.7,21,2.3,24,9,8490,52,2268,73,68
Martinique,82,79,85,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,51,Ñ,0.4,11,8,-10,0.4,0.4,8,1.9,19,17,Ñ,89,Ñ,Ñ,Ñ
Puerto Rico,79,76,83,Ñ,Ñ,Ñ,Ñ,78,83,1.43,0.66,46,Ñ,3.5,10,8,-15,3.5,3.4,7.2,1.5,18,17,23960,99,5806,84,72
St. Kitts-Nevis,75,73,78,Ñ,Ñ,Ñ,Ñ,93,110,2.09,Ñ,Ñ,14,0.05,14,8,1,0.05,0.06,13,1.8,21,8,21990,32,921,Ñ,Ñ
St. Lucia,79,75,83,60,34,Ñ,Ñ,88,88,2,0.82,Ñ,21,0.2,12,6,0,0.2,0.2,18,1.5,22,9,10230,15,5855,56,52
St. Vincent and the Grenadines,71,70,74,48,45,Ñ,Ñ,105,101,Ñ,0.71,Ñ,13,0.1,17,8,-8,0.1,0.1,20,2,25,6,10610,51,2204,Ñ,Ñ
Trinidad and Tobago,75,71,78,89,84,Ñ,Ñ,Ñ,Ñ,Ñ,0.7,46,25,1.4,14,8,-1,1.3,1.2,13,1.7,21,9,26220,15,5375,43,38
SOUTH AMERICA,75,72,78,126,78,0.2,0.1,93,98,Ñ,0.71,45,18,414,17,6,0,464,496,18,2,26,8,14850,84,309,75,69
Argentina,77,73,80,71,69,0.2,0.1,103,112,1.57,0.63,42,37,42.4,18,8,0,49.4,58.4,10.8,2.2,24,11,Ñ,93,108,55,53
Bolivia,67,65,69,510,200,0.2,0.1,80,80,Ñ,0.79,37,52,10.5,26,7,-1,13,15.8,39,3.2,31,6,6130,69,242,61,34
Brazil,75,71,79,120,69,Ñ,Ñ,Ñ,Ñ,Ñ,0.74,47,11,204.5,15,6,0,223.1,226.3,19,1.8,24,7,15900,86,281,80,77
Chile,79,76,81,55,22,0.2,<0.1,99,100,1.11,0.66,39,16,18,14,6,2,19.6,20.2,7.4,1.8,21,10,21570,90,1347,61,Ñ
Colombia,75,72,79,100,83,0.2,0.1,89,97,1.14,0.7,46,21,48.2,19,6,-1,53.2,54.9,16,1.9,27,7,12600,76,3104,79,73
Ecuador,75,72,78,160,87,0.2,<0.1,101,106,1.31,0.66,38,42,16.3,21,5,0,19.8,23.4,17,2.6,31,7,11120,70,1425,73,59
French Guiana,80,77,83,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,Ñ,46,Ñ,0.3,26,3,5,0.4,0.6,9,3.5,34,5,Ñ,77,Ñ,Ñ,Ñ
Guyana,66,64,69,210,250,0.7,1.2,94,109,2.14,0.53,Ñ,31,0.7,21,7,-7,0.8,0.7,32,2.6,27,6,6930,29,180,34,33
