country,Deaths_per_100k_Population,Infant_mortality_rate,LifeExp_Male,Percent_HIV-AIDS_Female,Percent_of_pop_over_65,Total_fertility_rate,Maternal_Deaths_1990,INET_USRS_2014
Iraq,5.193,27.2,67.227,,3.055623414576,4.566,107.0,9.2
Ireland,6.4,3.1,79.3,0.1,12.7019287451734,1.96,11.0,78.2477
Isle of Man,,,,,,,,
Israel,5.2,3.3,80.3,,11.0311716770475,3.08,11.0,70.8
Italy,9.8,3.0,80.3,,22.0141920876075,1.39,8.0,58.4593
Jamaica,5.7,13.9,73.314,0.6,8.95688249312597,2.046,79.0,37.1
Japan,10.0,2.1,80.5,,25.7054221977529,1.42,14.0,89.71
Jordan,3.843,15.8,72.418,,3.7747285190848,3.422,110.0,41.0
Kazakhstan,7.57,13.5,67.12,0.1,6.73203151277592,2.74,78.0,54.0
Kenya,8.265,36.6,59.851,,2.75660104989831,4.334,687.0,39.0
Kiribati,7.002,44.6,62.819,,3.65167013668869,3.73,234.0,11.5
"Korea, Dem. People���s Rep.",9.238,20.7,66.662,,9.55462414409657,1.979,75.0,
"Korea, Rep.",5.3,3.0,78.99,,12.6763034070043,1.205,21.0,84.77
Kosovo,7.0,,69.0,,,2.1,,
Kuwait,2.515,7.7,73.466,,1.94627351476277,2.105,7.0,75.46
Kyrgyz Republic,6.1,20.1,66.5,0.1,4.23208776345197,3.2,80.0,23.0
Lao PDR,6.768,52.3,64.772,0.2,3.77417667020466,2.991,905.0,12.5
Latvia,14.3,7.2,69.7,,19.2601216274228,1.52,48.0,75.2344
Lebanon,4.562,7.3,77.577,0.1,8.13295068366613,1.714,74.0,70.5
Lesotho,14.804,70.5,49.584,10.2,4.17206168982792,3.185,629.0,5.0
Liberia,8.684,54.7,59.871,0.4,3.020433730599,4.719,1500.0,3.2
Libya,5.33,11.9,68.941,,4.46010087260168,2.467,39.0,16.5
Liechtenstein,7.2,,80.7,,,1.45,,93.8
Lithuania,13.7,3.6,68.6,,18.6047851102476,1.59,29.0,68.4529
Luxembourg,6.9,1.6,80.5,,13.9523476704763,1.55,12.0,93.7765
"Macao SAR, China",4.801,,78.437,,8.53154621621902,1.243,,65.8
"Macedonia, FYR",9.395,5.2,73.098,,12.0217283950617,1.524,14.0,65.24
Madagascar,6.674,37.0,63.61,0.1,2.81974415690535,4.409,778.0,3.0
Malawi,7.885,45.1,61.747,4.1,3.41515040233292,5.129,957.0,5.05
Malaysia,4.921,6.2,72.43,0.1,5.6735734361723,1.944,79.0,66.97
Maldives,3.76,7.8,75.806,,4.72699802750304,2.123,677.0,44.1
Mali,10.46,75.9,58.177,0.7,2.55758186428649,6.229,1010.0,3.5
Malta,7.7,5.2,79.6,,18.6712247111124,1.38,13.0,68.9138
Marshall Islands,,30.2,,,,,,14.0
Mauritania,7.947,66.1,61.56,0.4,3.19377774978744,4.603,859.0,6.2
Mauritius,7.7,12.2,70.97,0.2,9.13392828285775,1.43,81.0,39.0
Mexico,4.789,11.9,74.356,0.1,6.30848223499061,2.243,90.0,43.46
"Micronesia, Fed. Sts.",6.164,29.4,68.144,,4.20206835569567,3.243,183.0,27.8
Moldova,11.311,13.9,67.431,,9.89224868257562,1.256,51.0,45.0
Monaco,,2.9,,,,,,90.7
Mongolia,6.113,19.9,65.28,,3.9828569720101,2.655,186.0,20.0
Montenegro,9.971,4.6,74.069,,13.3436858299802,1.689,10.0,60.31
Morocco,5.703,24.6,73.02,0.1,6.07918003379773,2.515,317.0,56.0
Mozambique,11.452,58.5,53.584,,3.33793646125576,5.359,1390.0,5.4
Myanmar,8.25,40.7,63.852,0.3,5.2417700574239,2.204,453.0,1.6
Namibia,7.099,33.4,62.148,5.0,3.50166343579187,3.522,338.0,13.9
Nepal,6.392,30.5,68.212,0.1,5.38751683956158,2.222,901.0,13.3
Netherlands,8.3,3.3,79.5,,17.7076918334221,1.68,12.0,93.9564
New Caledonia,5.3,,74.5,,10.0292532717475,2.24,,66.0
New Zealand,6.88,4.8,79.6,,14.4426114930501,1.92,18.0,82.78
Nicaragua,4.754,19.4,71.856,0.1,4.95996533371866,2.264,173.0,15.5
Niger,9.12,58.4,60.578,0.2,2.57288374094264,7.599,873.0,1.7
Nigeria,12.922,71.5,52.425,1.3,2.74991569845399,5.65,1350.0,38.0
Northern Mariana Islands,,,,,,,,
Norway,7.9,2.2,79.8,0.1,16.033698720078,1.78,7.0,95.0534
Oman,2.685,10.0,75.069,0.1,2.53136348259715,2.774,30.0,66.45
Pakistan,7.41,67.4,65.258,0.1,4.4909308899168,3.617,431.0,10.9
Palau,,14.7,,,,,,
Panama,5.014,15.1,74.621,0.1,7.44342326572351,2.444,102.0,44.03
Papua New Guinea,7.674,45.7,60.524,0.2,2.96316364124066,3.757,470.0,6.5
Paraguay,5.652,18.1,70.83,0.2,5.85805334682026,2.542,150.0,36.9
Peru,5.62,13.6,71.947,0.1,6.67629909623652,2.455,251.0,39.2
Philippines,6.735,22.8,64.911,0.1,4.49274042253332,2.977,152.0,37.0
Poland,9.9,4.5,73.4,0.1,15.018130255603,1.29,17.0,62.8492
